��DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4410119,2022-10-12 11:11:48,GOOD,0-4410119,43.08366,5.95759
0-4410119,2022-10-12 11:07:25,GOOD,0-4410119,43.08342,5.95843
0-4410119,2022-10-12 11:01:48,GOOD,0-4410119,43.08297,5.95946
0-4410119,2022-10-12 10:56:47,GOOD,0-4410119,43.08281,5.96034
0-4410119,2022-10-12 10:51:45,GOOD,0-4410119,43.08254,5.96113
0-4410119,2022-10-12 10:46:47,GOOD,0-4410119,43.08228,5.96197
0-4410119,2022-10-12 10:41:45,GOOD,0-4410119,43.08194,5.96285
0-4410119,2022-10-12 10:36:44,GOOD,0-4410119,43.08163,5.96375
0-4410119,2022-10-12 10:31:45,GOOD,0-4410119,43.08129,5.96455
0-4410119,2022-10-12 10:26:43,GOOD,0-4410119,43.081,5.96543
0-4410119,2022-10-12 10:21:45,GOOD,0-4410119,43.08068,5.96633
0-4410119,2022-10-12 10:16:44,GOOD,0-4410119,43.08035,5.96723
0-4410119,2022-10-12 10:11:47,GOOD,0-4410119,43.08007,5.96811
0-4410119,2022-10-12 10:07:07,GOOD,0-4410119,43.07985,5.96888
0-4410119,2022-10-12 10:01:48,GOOD,0-4410119,43.07952,5.96972
0-4410119,2022-10-12 09:56:48,GOOD,0-4410119,43.07925,5.97051
0-4410119,2022-10-12 09:51:50,GOOD,0-4410119,43.079,5.97131
0-4410119,2022-10-12 09:46:48,GOOD,0-4410119,43.07877,5.97206
0-4410119,2022-10-12 09:41:48,GOOD,0-4410119,43.07856,5.97275
0-4410119,2022-10-12 09:36:46,GOOD,0-4410119,43.07841,5.97349
0-4410119,2022-10-12 09:31:47,GOOD,0-4410119,43.0783,5.97409
0-4410119,2022-10-12 09:26:45,GOOD,0-4410119,43.07823,5.97467
0-4410119,2022-10-12 09:21:45,GOOD,0-4410119,43.07819,5.97517
0-4410119,2022-10-12 09:16:43,GOOD,0-4410119,43.07822,5.9757
0-4410119,2022-10-12 09:11:45,GOOD,0-4410119,43.07823,5.9762
0-4410119,2022-10-12 09:06:45,GOOD,0-4410119,43.07823,5.97663
0-4410119,2022-10-12 09:01:45,GOOD,0-4410119,43.07827,5.97714
0-4410119,2022-10-12 08:56:44,GOOD,0-4410119,43.07835,5.97779
0-4410119,2022-10-12 08:51:46,GOOD,0-4410119,43.07832,5.9783
0-4410119,2022-10-12 08:46:44,GOOD,0-4410119,43.07833,5.97888
0-4410119,2022-10-12 08:41:47,GOOD,0-4410119,43.07833,5.97946
0-4410119,2022-10-12 08:36:46,GOOD,0-4410119,43.0783,5.98004
0-4410119,2022-10-12 08:31:48,GOOD,0-4410119,43.07835,5.9806
0-4410119,2022-10-12 08:26:47,GOOD,0-4410119,43.07839,5.98115
0-4410119,2022-10-12 08:21:50,GOOD,0-4410119,43.07845,5.98173
0-4410119,2022-10-12 08:16:49,GOOD,0-4410119,43.07853,5.98227
0-4410119,2022-10-12 08:11:52,GOOD,0-4410119,43.07857,5.98285
0-4410119,2022-10-12 08:07:26,GOOD,0-4410119,43.07864,5.98334
0-4410119,2022-10-12 08:01:55,GOOD,0-4410119,43.07835,5.98424
0-4410119,2022-10-12 07:56:50,GOOD,0-4410119,43.07763,5.97905
0-4410119,2022-10-12 07:51:50,GOOD,0-4410119,43.07699,5.97278
0-4410119,2022-10-12 07:47:00,GOOD,0-4410119,43.07713,5.97343
0-4410119,2022-10-12 07:41:53,GOOD,0-4410119,43.07917,5.96369
0-4410119,2022-10-12 07:36:54,GOOD,0-4410119,43.08428,5.94832
0-4410119,2022-10-12 07:31:53,GOOD,0-4410119,43.08768,5.93238
0-4410119,2022-10-12 07:26:55,GOOD,0-4410119,43.09166,5.92094
0-4410119,2022-10-12 07:21:51,GOOD,0-4410119,43.10153,5.91541
0-4410119,2022-10-12 07:16:52,GOOD,0-4410119,43.10506,5.90206
0-4410119,2022-10-12 07:11:51,GOOD,0-4410119,43.10477,5.88992
0-4410119,2022-10-12 07:07:29,GOOD,0-4410119,43.1052,5.88573
